"movie_title","genres","language","content_rating","title_year","imdb_score"
"Avatar ","Action|Adventure|Fantasy|Sci-Fi","English","PG-13",2009,7.9
"Pirates of the Caribbean: At World's End ","Action|Adventure|Fantasy","English","PG-13",2007,7.1
"Spectre ","Action|Adventure|Thriller","English","PG-13",2015,6.8
"The Dark Knight Rises ","Action|Thriller","English","PG-13",2012,8.5
"Star Wars: Episode VII - The Force Awakens             ","Documentary","","",NA,7.1
"John Carter ","Action|Adventure|Sci-Fi","English","PG-13",2012,6.6
"Spider-Man 3 ","Action|Adventure|Romance","English","PG-13",2007,6.2
"Tangled ","Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance","English","PG",2010,7.8
"Avengers: Age of Ultron ","Action|Adventure|Sci-Fi","English","PG-13",2015,7.5
"Harry Potter and the Half-Blood Prince ","Adventure|Family|Fantasy|Mystery","English","PG",2009,7.5
"Batman v Superman: Dawn of Justice ","Action|Adventure|Sci-Fi","English","PG-13",2016,6.9
"Superman Returns ","Action|Adventure|Sci-Fi","English","PG-13",2006,6.1
"Quantum of Solace ","Action|Adventure","English","PG-13",2008,6.7
"Pirates of the Caribbean: Dead Man's Chest ","Action|Adventure|Fantasy","English","PG-13",2006,7.3
"The Lone Ranger ","Action|Adventure|Western","English","PG-13",2013,6.5
"Man of Steel ","Action|Adventure|Fantasy|Sci-Fi","English","PG-13",2013,7.2
"The Chronicles of Narnia: Prince Caspian ","Action|Adventure|Family|Fantasy","English","PG",2008,6.6
"The Avengers ","Action|Adventure|Sci-Fi","English","PG-13",2012,8.1
"Pirates of the Caribbean: On Stranger Tides ","Action|Adventure|Fantasy","English","PG-13",2011,6.7
"Men in Black 3 ","Action|Adventure|Comedy|Family|Fantasy|Sci-Fi","English","PG-13",2012,6.8
"The Hobbit: The Battle of the Five Armies ","Adventure|Fantasy","English","PG-13",2014,7.5
"The Amazing Spider-Man ","Action|Adventure|Fantasy","English","PG-13",2012,7
"Robin Hood ","Action|Adventure|Drama|History","English","PG-13",2010,6.7
"The Hobbit: The Desolation of Smaug ","Adventure|Fantasy","English","PG-13",2013,7.9
"The Golden Compass ","Adventure|Family|Fantasy","English","PG-13",2007,6.1
"King Kong ","Action|Adventure|Drama|Romance","English","PG-13",2005,7.2
"Titanic ","Drama|Romance","English","PG-13",1997,7.7
"Captain America: Civil War ","Action|Adventure|Sci-Fi","English","PG-13",2016,8.2
"Battleship ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2012,5.9
"Jurassic World ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2015,7
"Skyfall ","Action|Adventure|Thriller","English","PG-13",2012,7.8
"Spider-Man 2 ","Action|Adventure|Fantasy|Romance","English","PG-13",2004,7.3
"Iron Man 3 ","Action|Adventure|Sci-Fi","English","PG-13",2013,7.2
"Alice in Wonderland ","Adventure|Family|Fantasy","English","PG",2010,6.5
"X-Men: The Last Stand ","Action|Adventure|Fantasy|Sci-Fi|Thriller","English","PG-13",2006,6.8
"Monsters University ","Adventure|Animation|Comedy|Family|Fantasy","English","G",2013,7.3
"Transformers: Revenge of the Fallen ","Action|Adventure|Sci-Fi","English","PG-13",2009,6
"Transformers: Age of Extinction ","Action|Adventure|Sci-Fi","English","PG-13",2014,5.7
"Oz the Great and Powerful ","Adventure|Family|Fantasy","English","PG",2013,6.4
"The Amazing Spider-Man 2 ","Action|Adventure|Fantasy|Sci-Fi","English","PG-13",2014,6.7
"TRON: Legacy ","Action|Adventure|Sci-Fi","English","PG",2010,6.8
"Cars 2 ","Adventure|Animation|Comedy|Family|Sport","English","G",2011,6.3
"Green Lantern ","Action|Adventure|Sci-Fi","English","PG-13",2011,5.6
"Toy Story 3 ","Adventure|Animation|Comedy|Family|Fantasy","English","G",2010,8.3
"Terminator Salvation ","Action|Adventure|Sci-Fi","English","PG-13",2009,6.6
"Furious 7 ","Action|Crime|Thriller","English","PG-13",2015,7.2
"World War Z ","Action|Adventure|Horror|Sci-Fi|Thriller","English","PG-13",2013,7
"X-Men: Days of Future Past ","Action|Adventure|Fantasy|Sci-Fi|Thriller","English","PG-13",2014,8
"Star Trek Into Darkness ","Action|Adventure|Sci-Fi","English","PG-13",2013,7.8
"Jack the Giant Slayer ","Adventure|Fantasy","English","PG-13",2013,6.3
"The Great Gatsby ","Drama|Romance","English","PG-13",2013,7.3
"Prince of Persia: The Sands of Time ","Action|Adventure|Fantasy|Romance","English","PG-13",2010,6.6
"Pacific Rim ","Action|Adventure|Sci-Fi","English","PG-13",2013,7
"Transformers: Dark of the Moon ","Action|Adventure|Sci-Fi","English","PG-13",2011,6.3
"Indiana Jones and the Kingdom of the Crystal Skull ","Action|Adventure|Fantasy","English","PG-13",2008,6.2
"The Good Dinosaur ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2015,6.8
"Brave ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2012,7.2
"Star Trek Beyond ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2016,7.5
"WALL·E ","Adventure|Animation|Family|Sci-Fi","English","G",2008,8.4
"Rush Hour 3 ","Action|Comedy|Crime|Thriller","English","PG-13",2007,6.2
"2012 ","Action|Adventure|Sci-Fi","English","PG-13",2009,5.8
"A Christmas Carol ","Animation|Drama|Family|Fantasy","English","PG",2009,6.8
"Jupiter Ascending ","Action|Adventure|Sci-Fi","English","PG-13",2015,5.4
"The Legend of Tarzan ","Action|Adventure|Drama|Romance","English","PG-13",2016,6.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","Adventure|Family|Fantasy","English","PG",2005,6.9
"X-Men: Apocalypse ","Action|Adventure|Sci-Fi","English","PG-13",2016,7.3
"The Dark Knight ","Action|Crime|Drama|Thriller","English","PG-13",2008,9
"Up ","Adventure|Animation|Comedy|Family","English","PG",2009,8.3
"Monsters vs. Aliens ","Action|Adventure|Animation|Comedy|Family|Sci-Fi","English","PG",2009,6.5
"Iron Man ","Action|Adventure|Sci-Fi","English","PG-13",2008,7.9
"Hugo ","Adventure|Drama|Family|Mystery","English","PG",2011,7.5
"Wild Wild West ","Action|Comedy|Sci-Fi|Western","English","PG-13",1999,4.8
"The Mummy: Tomb of the Dragon Emperor ","Action|Adventure|Fantasy|Horror|Thriller","English","PG-13",2008,5.2
"Suicide Squad ","Action|Adventure|Comedy|Sci-Fi","English","PG-13",2016,6.9
"Evan Almighty ","Comedy|Family|Fantasy","English","PG",2007,5.4
"Edge of Tomorrow ","Action|Adventure|Sci-Fi","English","PG-13",2014,7.9
"Waterworld ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",1995,6.1
"G.I. Joe: The Rise of Cobra ","Action|Adventure|Sci-Fi|Thriller","English","PG-13",2009,5.8
"Inside Out ","Adventure|Animation|Comedy|Drama|Family|Fantasy","English","PG",2015,8.3
"The Jungle Book ","Adventure|Drama|Family|Fantasy","English","PG",2016,7.8
"Iron Man 2 ","Action|Adventure|Sci-Fi","English","PG-13",2010,7
"Snow White and the Huntsman ","Action|Adventure|Drama|Fantasy","English","PG-13",2012,6.1
"Maleficent ","Action|Adventure|Family|Fantasy|Romance","English","PG",2014,7
"Dawn of the Planet of the Apes ","Action|Adventure|Drama|Sci-Fi","English","PG-13",2014,7.6
"The Lovers ","Action|Adventure|Romance|Sci-Fi","English","R",2015,4.5
"47 Ronin ","Action|Adventure|Drama|Fantasy","English","PG-13",2013,6.3
"Captain America: The Winter Soldier ","Action|Adventure|Sci-Fi","English","PG-13",2014,7.8
"Shrek Forever After ","Adventure|Animation|Comedy|Family|Fantasy","English","PG",2010,6.4
"Tomorrowland ","Action|Adventure|Family|Mystery|Sci-Fi","English","PG",2015,6.5
"Big Hero 6 ","Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi","English","PG",2014,7.9
"Wreck-It Ralph ","Adventure|Animation|Comedy|Family|Sci-Fi","English","PG",2012,7.8
"The Polar Express ","Adventure|Animation|Family|Fantasy","English","G",2004,6.6
"Independence Day: Resurgence ","Action|Adventure|Sci-Fi","English","PG-13",2016,5.5
